UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
121309,84,89,81,21,19,23,21,19,23,0,0,0
121345,7,8,7,50,48,52,50,48,52,0,0,0
121691,83,80,85,16,17,15,16,17,15,0,0,0
122409,36,34,38,20,20,20,20,20,20,0,0,0
122436,52,52,53,12,12,12,12,12,12,0,0,0
122506,55,57,52,27,29,28,27,29,28,0,0,0
122597,96,96,97,9,10,8,8,9,7,0,0,0
122612,62,59,63,6,6,6,6,6,6,0,0,0
122728,93,91,95,20,19,20,19,18,20,0,1,0
122755,85,79,91,15,16,13,14,16,13,1,1,0
122931,48,45,51,18,20,16,18,20,16,0,0,0
123165,38,,38,26,,26,26,,26,0,,0
123280,100,100,100,83,100,50,42,63,0,42,38,50
123457,86,75,97,24,38,13,24,38,13,0,0,0
123554,87,87,86,9,12,8,9,11,8,0,0,0
123572,93,93,94,8,7,9,8,7,9,0,0,0
123651,62,63,62,20,21,19,19,20,19,1,1,1
123679,97,97,97,61,56,62,51,49,52,10,7,11
123952,77,74,79,7,9,6,7,9,6,0,0,0
123961,10,11,9,43,42,46,43,42,46,0,0,0
124292,83,83,84,68,70,65,68,70,65,0,0,0
124706,98,96,99,59,58,60,59,58,60,0,0,0
124937,100,100,100,57,51,60,44,46,44,13,4,16
125727,77,70,81,16,19,14,16,19,14,0,0,0
125763,81,79,83,5,6,5,5,6,5,0,0,0
125897,82,80,83,6,8,5,6,8,5,0,0,0
126076,58,58,,100,100,,100,100,,0,0,
126562,75,69,78,13,16,11,12,14,10,1,2,1
126580,97,97,98,13,15,11,12,14,11,1,1,1
126614,78,73,83,14,15,13,14,15,13,0,0,0
126678,18,18,19,30,34,27,30,34,27,0,0,0
126687,90,79,92,58,65,58,58,65,58,0,0,0
126775,61,57,69,23,25,20,23,25,20,0,0,0
126784,91,91,,73,73,,73,73,,0,0,
126818,89,87,90,16,16,16,16,16,16,0,0,0
127060,78,76,79,9,10,9,9,10,9,0,0,0
127185,77,77,78,19,22,18,19,21,18,0,0,0
127556,82,82,82,23,24,22,21,23,20,2,2,2
127565,99,99,99,19,21,17,12,14,10,7,7,6
127653,100,100,100,27,7,30,24,7,26,3,0,4
127741,86,85,86,13,13,13,13,12,13,0,0,0
127918,86,84,89,12,11,13,12,10,12,0,0,0
127954,100,,100,71,,71,71,,71,0,,0
128106,95,96,94,22,23,22,20,20,20,2,3,2
128328,14,14,14,78,79,77,78,79,77,0,0,0
128391,100,100,100,11,14,9,11,14,9,0,0,0
128498,59,51,67,11,11,11,11,11,11,0,0,0
128586,100,100,,100,100,,100,100,,0,0,
128744,83,79,86,5,3,7,4,3,5,1,0,2
128771,73,71,75,21,24,18,20,23,18,0,0,0
128902,37,30,42,15,17,14,15,17,14,0,0,0
129020,52,48,56,15,15,15,15,15,15,0,0,0
129215,83,79,85,15,15,15,15,15,15,0,0,0
129242,33,34,33,24,25,23,24,25,23,0,0,0
129525,96,95,96,10,11,10,10,11,10,0,0,0
129774,95,94,95,7,9,6,7,9,6,0,0,0
129941,60,60,61,10,9,10,10,9,10,0,0,0
130226,72,71,73,11,12,11,11,12,11,0,0,0
130253,65,64,66,17,18,17,17,18,17,0,0,0
130314,79,70,83,12,15,11,12,15,11,0,0,0
130493,91,90,93,14,14,14,13,13,13,0,0,0
130590,29,28,31,25,28,22,25,28,22,0,0,0
130624,22,20,29,66,69,60,66,69,60,0,0,0
130697,16,18,15,35,36,34,35,36,34,0,0,0
130776,87,84,89,17,21,14,16,20,14,0,0,0
130794,4,5,3,70,69,71,70,69,71,0,0,0
130934,47,40,50,34,40,31,29,36,27,4,5,4
130943,71,66,73,16,17,15,16,17,15,0,0,0
130989,85,77,91,20,24,17,20,24,17,0,0,0
131159,62,61,62,16,18,14,16,18,14,0,0,0
131283,83,80,85,13,14,13,13,14,13,0,0,0
131450,58,60,56,61,61,61,61,61,61,0,0,0
131469,47,46,48,19,19,20,19,19,19,0,0,0
131496,13,13,13,47,47,46,47,47,46,0,0,0
131520,41,40,42,19,17,20,19,17,20,0,0,0
131830,100,100,100,100,100,100,100,100,100,0,0,0
131876,100,100,99,20,19,20,17,0,18,3,19,1
132408,36,30,42,56,85,38,10,13,8,47,71,30
132471,77,74,79,7,8,7,7,8,7,0,0,0
132602,88,85,90,10,12,10,10,12,10,0,0,0
